Semester,Date,Day,Time,Department,Subject,Subject Code,
3rd,18-03-2024,মঙ্গলবার,10:30 AM - 11:30 AM,কম্পিউটারসাইন্স এন্ড টেকনোলজি,অ্যাপ্লিকেশন ডেভেলপমেন্ট ইউজিং পাইথন,28531,
3rd,18-03-2024,মঙ্গলবার,10:30 AM - 11:30 AM,ইলেকট্রো-মেডিক্যাল টেকনোলজি,অপারেটিং রুম ইকুইপমেন্ট,28632,
3rd,19-03-2024,বুধবার,10:30 AM - 11:30 AM,সিভিল টেকনোলজি,ফিজিক্স-২,25922,
3rd,19-03-2024,বুধবার,10:30 AM - 11:30 AM,ইলেকট্রিক্যাল টেকনোলজি,কেমিস্ট্রি,25913,
3rd,19-03-2024,বুধবার,10:30 AM - 11:30 AM,মেকানিক্যাল টেকনোলজি,মেশিনশপ প্রাকটিস-২,27032,
3rd,19-03-2024,বুধবার,10:30 AM - 11:30 AM,পাওয়ার টেকনোলজি,ফিজিক্স-২,25922,
3rd,19-03-2024,বুধবার,10:30 AM - 11:30 AM,ইলেকট্রনিক্স টেকনোলজি,ফিজিক্স-২,25922,
3rd,19-03-2024,বুধবার,10:30 AM - 11:30 AM,কম্পিউটারসাইন্স এন্ড টেকনোলজি,ফিজিক্স-২,25922,
3rd,19-03-2024,বুধবার,10:30 AM - 11:30 AM,ইলেকট্রো-মেডিক্যাল টেকনোলজি,কেমিস্ট্রি,25913,
3rd,20-03-2024,বৃহস্পতিবার,10:30 AM - 11:30 AM,সিভিল টেকনোলজি,স্ট্রাকচারাল মেকানিক্স,26431,
3rd,20-03-2024,বৃহস্পতিবার,10:30 AM - 11:30 AM,ইলেকট্রিক্যাল টেকনোলজি,ইন্ডাস্ট্রিয়াল ইলেকট্রনিক্স,26833,
3rd,20-03-2024,বৃহস্পতিবার,10:30 AM - 11:30 AM,মেকানিক্যাল টেকনোলজি,মেকানিক্যাল ইঞ্জিঃ ম্যাটেরিয়ালস,27031,
3rd,20-03-2024,বৃহস্পতিবার,10:30 AM - 11:30 AM,পাওয়ার টেকনোলজি,মেশিনশপ প্রাকটিস-১,27012,
