Room No,Department,Roll
1007,3/ET,870917
1007,3/CT,870774
1007,3/ET,870767
1007,3/CT,870761
1007,3/CT,870746
1007,3/ET,870891
1007,3/CT,870904
1010,3/ET,870778
1010,3/CT,870921
1010,3/ET,870780
1010,3/ET,870942
1010,3/CT,870794
1010,3/CT,870799
1010,3/ET,870951
1010,3/CT,870923
1010,3/ET,870781
1010,3/CT,870924
1010,3/ET,870782
1011,3/CT,870801
1011,3/ET,870956
1011,3/ET,871506
1011,3/CT,870809
1011,3/ET,871524
1011,3/ET,871510
1011,3/CT,870802
1011,3/ET,870957
1011,3/CT,871501
1011,3/ET,871519
1011,3/CT,870803
1011,3/CT,871497
1011,3/ET,870805
1011,3/CT,870820
1011,3/ET,871528
1011,3/CT,870826
1011,3/ET,871530
1011,3/CT,870823
1012,3/CT,870853
1012,3/ET,871598
1012,3/ET,871576
1012,3/CT,870846
1012,3/ET,871575
1012,3/CT,870842
1012,3/ET,871574
1012,3/CT,870835
1012,3/ET,871569
1012,3/CT,870836
1012,3/ET,871568
1012,3/CT,870834
1012,3/ET,871564
1012,3/CT,870828
1012,3/ET,871535
1012,3/CT,870829
1012,3/CT,870852
1012,3/ET,871581
1012,3/CT,870841
1012,3/ET,871570
1012,3/CT,870833
1012,3/ET,871540
1012,3/ET,871591
1012,3/CT,870848
1012,3/ET,871573
1012,3/CT,870837
1012,3/ET,871563
1012,3/CT,870830
1012,3/CT,870851
1012,3/ET,871585
1012,3/CT,870839
1012,3/ET,871571
1012,3/ET,871588
1012,3/CT,870850
2006,3/CT,871602
2006,3/ET,871622
2006,3/CT,871373
2006,3/CT,871382
2006,3/ET,870857
2006,3/CT,871604
2006,3/ET,870858
2006,3/CT,871610
2006,3/ET,871349
2006,3/ET,871611
2006,3/CT,871352
2006,3/ET,871613
2008,3/CT,871383
2008,3/ENT,775670
2008,3/CT,871657
2008,3/ENT,871385
2008,3/CT,871658
2008,3/ENT,871387
2008,3/CT,871661
2008,3/ENT,871389
2009,3/ENT,871408
2009,3/CT,870968
2009,3/ENT,870994
2009,3/CT,871409
2009,3/ENT,870969
2009,3/CT,871410
2009,3/ENT,870970
2009,3/CT,871411
2010,3/CT,871013
2010,3/ENT,871027
2010,3/ENT,871450
2010,3/CT,871458
2010,3/ENT,871015
2010,3/CT,871012
2010,3/ENT,871025
2010,3/CT,871457
2010,3/ENT,871023
2010,3/CT,871455
301,3/ENT,871459
301,3/CT,871030
301,3/ENT,871460
301,3/CT,871036
301,3/ENT,871461
301,3/CT,871037
301,3/ENT,871464
301,3/CT,871042
301,3/ENT,871467
304,3/ENT,871491
304,3/CST,871690
304,3/ENT,871495
304,3/CST,871691
304,3/ENT,871496
304,3/CST,871692
304,3/ENT,876599
304,3/CST,871694
304,3/ENT,876887
D-1,3/ENT,871200
D-1,3/CST,871726
D-1,3/ENT,871203
D-1,3/CST,871728
D-1,3/ENT,871204
D-1,3/CST,871731
D-1,3/ENT,871206
D-1,3/CST,871735
D-1,3/ENT,871207
D-1,3/CST,871737
LIBRARY,3/CST,871240
LIBRARY,3/EMT,871803
LIBRARY,3/CST,871241
LIBRARY,3/EMT,871807
LIBRARY,3/CST,871242
LIBRARY,3/EMT,871808
LIBRARY,3/CST,871243
LIBRARY,3/EMT,871811
LIBRARY,3/CST,871244
LIBRARY,3/EMT,871812
LIBRARY,3/CST,871245
LIBRARY,3/EMT,871826
305,3/EMT,871276
305,3/CST,871301
305,3/EMT,871277
305,3/CST,871302
305,3/EMT,871278
305,3/CST,871304
307,3/EMT,872134
307,3/CST,871339
307,3/EMT,872136
307,3/CST,871340
307,3/EMT,872140
307,3/CST,871341
D-2,3/MT,872172
D-2,3/CST,872260
D-2,3/MT,872173
D-2,3/CST,872261
D-2,3/MT,872174
